nephilim heritage	"heritage:nephilim"	Nephilim
death rattle	"feat:death-rattle"	Death Rattle
bone swarm	"feat:bone-swarm"	Bone Swarm
shattering strike	"feat:shattering-strike-monk"	Shattering Strike (Monk)
nagaji lore	"feat:nagaji-lore"	Nagaji Lore
ostentatious arrival	"feat:ostentatious-arrival"	Ostentatious Arrival
creature comforts	"feat:creature-comforts"	Creature Comforts
competitive eater	"feat:competitive-eater"	Competitive Eater
in the horde's grip	"feat:in-the-hordes-grip"	In the Horde's Grip
back to back	"feat:back-to-back"	Back to Back
elemental artillery	"feat:elemental-artillery"	Elemental Artillery
geomancer dedication	"feat:geomancer-dedication"	Geomancer Dedication
ill tide	"feat:ill-tide"	Ill Tide
storming breath	"feat:storming-breath"	Storming Breath
know it all	"feat:know-it-all-eldritch-researcher"	Know It All (Eldritch Researcher)
shard strike	"feat:shard-strike"	Shard Strike
azarketi weapon expertise	"feat:azarketi-weapon-expertise"	Azarketi Weapon Expertise
awakened stride	"feat:awakened-stride"	Awakened Stride
earthbond	"feat:earthbond"	Earthbond
animal accomplice	"feat:animal-accomplice"	Animal Accomplice
rip and tear	"feat:rip-and-tear"	Rip and Tear
master's counterspell	"feat:masters-counterspell"	Master's Counterspell
cleansing subroutine	"feat:cleansing-subroutine"	Cleansing Subroutine
instinctual creation	"feat:instinctual-creation"	Instinctual Creation
fey transcendence	"feat:fey-transcendence"	Fey Transcendence
invoke offense	"feat:invoke-offense"	Invoke Offense
orc superstition	"feat:orc-superstition"	Orc Superstition
prophet's lockbox	"feat:prophets-lockbox"	Prophet's Lockbox
out of hand	"feat:out-of-hand"	Out of Hand
familiar form	"feat:familiar-form"	Familiar Form
ghoul dedication	"feat:ghoul-dedication"	Ghoul Dedication
triple threat	"feat:triple-threat"	Triple Threat
reflective pocket	"feat:reflective-pocket"	Reflective Pocket
arcane sight	"feat:arcane-sight"	Arcane Sight
split spellstrike	"feat:split-spellstrike"	Split Spellstrike
evolved spellhorn	"feat:evolved-spellhorn"	Evolved Spellhorn
crystal keeper dedication	"feat:crystal-keeper-dedication"	Crystal Keeper Dedication
expressive face	"feat:expressive-face"	Expressive Face
domain fluency	"feat:domain-fluency"	Domain Fluency
claw and talon flow	"feat:claw-and-talon-flow"	Claw and Talon Flow
misty transformation	"feat:misty-transformation"	Misty Transformation
draconic arrogance	"feat:draconic-arrogance"	Draconic Arrogance
everdistant defense	"feat:everdistant-defense"	Everdistant Defense
vellumis excision	"feat:vellumis-excision"	Vellumis Excision
take wing	"feat:take-wing"	Take Wing
rivethun devotion	"feat:rivethun-devotion"	Rivethun Devotion
dual onslaught	"feat:dual-onslaught"	Dual Onslaught
call of elysium	"feat:call-of-elysium"	Call of Elysium
guerrilla dedication	"feat:guerrilla-dedication"	Guerrilla Dedication
whirling grindstone	"feat:whirling-grindstone"	Whirling Grindstone
bloodsoaked dash	"feat:bloodsoaked-dash"	Bloodsoaked Dash
whispers of warning	"feat:whispers-of-warning"	Whispers of Warning
desperate wrath	"feat:desperate-wrath"	Desperate Wrath
hellspawn	"feat:hellspawn"	Hellspawn
emerald boughs accustomation	"feat:emerald-boughs-accustomation"	Emerald Boughs Accustomation
embed aeon stone	"feat:embed-aeon-stone"	Embed Aeon Stone
ranger's bramble	"feat:rangers-bramble"	Ranger's Bramble
entreat with forebears	"feat:entreat-with-forebears"	Entreat with Forebears
terrible transformation	"feat:terrible-transformation"	Terrible Transformation
bloodrager dedication	"feat:bloodrager-dedication"	Bloodrager Dedication
light paws	"feat:light-paws"	Light Paws
preternatural parry	"feat:preternatural-parry"	Preternatural Parry
eyes of god	"feat:eyes-of-god"	Eyes of God
drive-by attack	"feat:drive-by-attack"	Drive-By Attack
terrifying mien	"feat:terrifying-mien"	Terrifying Mien
distant invocation	"feat:distant-invocation"	Distant Invocation
veteran follower	"feat:veteran-follower"	Veteran Follower
universal longevity	"feat:universal-longevity"	Universal Longevity
guide the timeline	"feat:guide-the-timeline"	Guide the Timeline
mysterious repertoire	"feat:mysterious-repertoire"	Mysterious Repertoire
merge with the source	"feat:merge-with-the-source"	Merge with the Source
pei zing adept	"feat:pei-zing-adept"	Pei Zing Adept
superimpose time duplicates	"feat:superimpose-time-duplicates"	Superimpose Time Duplicates
shory aeromancer	"feat:shory-aeromancer"	Shory Aeromancer
counterspell	"feat:counterspell-prepared"	Counterspell (Prepared)
cautious delver	"feat:cautious-delver"	Cautious Delver
whirling in the summer storm	"feat:whirling-in-the-summer-storm"	Whirling in the Summer Storm
greater magical scholastics	"feat:greater-magical-scholastics"	Greater Magical Scholastics
cycle spell	"feat:cycle-spell"	Cycle Spell
divine reflexes	"feat:divine-reflexes"	Divine Reflexes
stunning appearance	"feat:stunning-appearance"	Stunning Appearance
basic necromancer spellcasting	"feat:basic-necromancer-spellcasting"	Basic Necromancer Spellcasting
extraplanar haze	"feat:extraplanar-haze"	Extraplanar Haze
fiendish strikes	"feat:fiendish-strikes"	Fiendish Strikes
friend of the sea	"feat:friend-of-the-sea"	Friend of the Sea
virtue-forged tattoos	"feat:virtue-forged-tattoos"	Virtue-Forged Tattoos
elemental shape	"feat:elemental-shape"	Elemental Shape
storm retribution	"feat:storm-retribution"	Storm Retribution
bombing run	"feat:bombing-run"	Bombing Run
wiles on the wind	"feat:wiles-on-the-wind"	Wiles on the Wind
spell retaliation	"feat:spell-retaliation"	Spell Retaliation
saving slash	"feat:saving-slash"	Saving Slash
sportlebore choke	"feat:sportlebore-choke"	Sportlebore Choke
powerful guts	"feat:powerful-guts"	Powerful Guts
critter shape	"feat:critter-shape"	Critter Shape
roaring heart	"feat:roaring-heart"	Roaring Heart
flensing slice	"feat:flensing-slice"	Flensing Slice
nimble roll	"feat:nimble-roll"	Nimble Roll
flower chimera	"feat:flower-chimera"	Flower Chimera
shadow power	"feat:shadow-power"	Shadow Power
rapid reattunement	"feat:rapid-reattunement"	Rapid Reattunement
spiritual secret	"feat:spiritual-secret"	Spiritual Secret
topple the titans	"feat:topple-the-titans"	Topple The Titans
feed the void	"feat:feed-the-void"	Feed the Void
secrets of shadow	"feat:secrets-of-shadow"	Secrets of Shadow
watcher on the wall	"feat:watcher-on-the-wall"	Watcher on the Wall
renewing quills	"feat:renewing-quills"	Renewing Quills
greater transformation	"feat:greater-transformation"	Greater Transformation
storm form	"feat:storm-form"	Storm Form
spark of independence	"feat:spark-of-independence"	Spark of Independence
croak talker	"feat:croak-talker"	Croak Talker
spirit familiar	"feat:spirit-familiar-witch"	Spirit Familiar (Witch)
spellbook prodigy	"feat:spellbook-prodigy"	Spellbook Prodigy
dark persona's presence	"feat:dark-personas-presence"	Dark Persona's Presence
three clear breaths	"feat:three-clear-breaths"	Three Clear Breaths
bone missile	"feat:bone-missile"	Bone Missile
exploit opening	"feat:exploit-opening"	Exploit Opening
dwarven reinforcement	"feat:dwarven-reinforcement"	Dwarven Reinforcement
invulnerable rager	"feat:invulnerable-rager"	Invulnerable Rager
mirror-risen	"feat:mirror-risen"	Mirror-Risen
arcane locomotion	"feat:arcane-locomotion"	Arcane Locomotion
advanced thaumaturgy	"feat:advanced-thaumaturgy"	Advanced Thaumaturgy
devoted focus	"feat:devoted-focus"	Devoted Focus
spell runes	"feat:spell-runes"	Spell Runes
rapid mantel	"feat:rapid-mantel"	Rapid Mantel
tempest-sun redirection	"feat:tempest-sun-redirection"	Tempest-Sun Redirection
mooneater	"feat:mooneater"	Mooneater
yaoguai historian	"feat:yaoguai-historian"	Yaoguai Historian
radiate glory	"feat:radiate-glory"	Radiate Glory
quaking stomp	"feat:quaking-stomp"	Quaking Stomp
drifter's juke	"feat:drifters-juke"	Drifter's Juke
impervious vehicle	"feat:impervious-vehicle"	Impervious Vehicle
bat form	"feat:bat-form"	Bat Form
advanced revelation	"feat:advanced-revelation"	Advanced Revelation
basic defender	"feat:basic-defender"	Basic Defender
creature of myth	"feat:creature-of-myth"	Creature of Myth
avenger of lust	"feat:avenger-of-lust"	Avenger of Lust
improvised pummel	"feat:improvised-pummel"	Improvised Pummel
wings of air	"feat:wings-of-air"	Wings of Air
eye of ozem	"feat:eye-of-ozem"	Eye of Ozem
frightening indignation	"feat:frightening-indignation"	Frightening Indignation
instant army	"feat:instant-army"	Instant Army
fey fellowship	"feat:fey-fellowship"	Fey Fellowship
wind jump	"feat:wind-jump"	Wind Jump
initial eidolon ability	"feat:initial-eidolon-ability"	Initial Eidolon Ability
vicious venom	"feat:vicious-venom"	Vicious Venom
deity's domain	"feat:deitys-domain"	Deity's Domain
the immortal attains the summit	"feat:the-immortal-attains-the-summit"	The Immortal Attains the Summit
dueling dance	"feat:dueling-dance-fighter"	Dueling Dance (Fighter)
crescent cross training	"feat:crescent-cross-training"	Crescent Cross Training
breath like honey	"feat:breath-like-honey"	Breath Like Honey
steady on stone	"feat:steady-on-stone"	Steady on Stone
contact with the enemy	"feat:contact-with-the-enemy"	Contact With the Enemy
specialized companion	"feat:specialized-companion-ranger"	Specialized Companion (Ranger)
greater animal senses	"feat:greater-animal-senses"	Greater Animal Senses
folk dowsing	"feat:folk-dowsing"	Folk Dowsing
gunpowder gauntlet	"feat:gunpowder-gauntlet"	Gunpowder Gauntlet
the dead walk	"feat:the-dead-walk"	The Dead Walk
tenacious toxins	"feat:tenacious-toxins"	Tenacious Toxins
bloom of health	"feat:bloom-of-health"	Bloom of Health
drilled reflexes	"feat:drilled-reflexes"	Drilled Reflexes
nimble hooves	"feat:nimble-hooves"	Nimble Hooves
return to the sea	"feat:return-to-the-sea"	Return to the Sea
lizardfolk lore	"feat:lizardfolk-lore"	Lizardfolk Lore
heal companion	"feat:heal-companion"	Heal Companion
expert drill sergeant	"feat:expert-drill-sergeant"	Expert Drill Sergeant
fortissimo composition	"feat:fortissimo-composition"	Fortissimo Composition
song of strength	"feat:song-of-strength"	Song of Strength
adaptive mask familiar	"feat:adaptive-mask-familiar"	Adaptive Mask Familiar
double poison	"feat:double-poison"	Double Poison
spiritual disruption	"feat:spiritual-disruption"	Spiritual Disruption
summon water elemental	"feat:summon-water-elemental"	Summon Water Elemental
fang sharpener	"feat:fang-sharpener"	Fang Sharpener
steady spellcasting	"feat:steady-spellcasting-magus"	Steady Spellcasting (Magus)
widen spell	"feat:widen-spell"	Widen Spell
wyldsinger	"feat:wyldsinger"	Wyldsinger
mystic life force	"feature:mystic-life-force"	Mystic Life Force
brains!	"feat:brains"	Brains!
resist ruin	"feat:resist-ruin"	Resist Ruin
pain tolerance	"feat:pain-tolerance"	Pain Tolerance
inhale, exhale!	"feat:inhale-exhale"	Inhale, Exhale!
minor magic	"feat:minor-magic"	Minor Magic
terrain advantage	"feat:terrain-advantage"	Terrain Advantage
spell swipe	"feat:spell-swipe"	Spell Swipe
vengeful oath	"feat:vengeful-oath"	Vengeful Oath
expert oracle spellcasting	"feat:expert-oracle-spellcasting"	Expert Oracle Spellcasting
battlefront sabotage	"feat:battlefront-sabotage"	Battlefront Sabotage
shroud of the seas	"feat:shroud-of-the-seas"	Shroud of the Seas
scattering shout	"feat:scattering-shout"	Scattering Shout
remake the world	"feat:remake-the-world"	Remake the World
stone blood	"feat:stone-blood-stonebound"	Stone Blood (Stonebound)
epiphany at the crossroads	"feat:epiphany-at-the-crossroads"	Epiphany at the Crossroads
avowed insight	"feat:avowed-insight"	Avowed Insight
defy the darkness	"feat:defy-the-darkness"	Defy the Darkness
redirecting draft	"feat:redirecting-draft"	Redirecting Draft
magic warrior aspect	"feat:magic-warrior-aspect"	Magic Warrior Aspect
burrowing shot	"feat:burrowing-shot"	Burrowing Shot
aggravating scratch	"feat:aggravating-scratch"	Aggravating Scratch
share thoughts	"feat:share-thoughts"	Share Thoughts
piercing critical	"feat:piercing-critical"	Piercing Critical
ghost-path epiphany	"feat:ghost-path-epiphany"	Ghost-Path Epiphany
quick mount	"feat:quick-mount"	Quick Mount
tengu feather fan	"feat:tengu-feather-fan"	Tengu Feather Fan
second sight	"feat:second-sight"	Second Sight
mask familiar	"feat:mask-familiar"	Mask Familiar
juggernaut charge	"feat:juggernaut-charge"	Juggernaut Charge
feral senses	"feat:feral-senses"	Feral Senses
form of the beloved mother	"feat:form-of-the-beloved-mother"	Form of the Beloved Mother
cleave	"feat:cleave"	Cleave
incredible ferocity	"feat:incredible-ferocity"	Incredible Ferocity
snakebird's shadow	"feat:snakebirds-shadow"	Snakebird's Shadow
reptile speaker	"feat:reptile-speaker"	Reptile Speaker
rough rider	"feat:rough-rider"	Rough Rider
hunter's aim	"feat:hunters-aim"	Hunter's Aim
tranquil sanctuary	"feat:tranquil-sanctuary"	Tranquil Sanctuary
bloodline metamorphosis	"feat:bloodline-metamorphosis"	Bloodline Metamorphosis
emissary familiar	"feat:emissary-familiar"	Emissary Familiar
adamantine body	"feat:adamantine-body"	Adamantine Body
twin riposte	"feat:twin-riposte"	Twin Riposte
persistent mutagen	"feat:persistent-mutagen"	Persistent Mutagen
engine of destruction	"feat:engine-of-destruction"	Engine of Destruction
tangle of battle	"feat:tangle-of-battle"	Tangle of Battle
diamond soul	"feat:diamond-soul"	Diamond Soul
divine health	"feat:divine-health"	Divine Health
imprison foe	"feat:imprison-foe"	Imprison Foe
suli-jann	"feat:suli-jann"	Suli-jann
inspired memory	"feat:inspired-memory"	Inspired Memory
fey disguise	"feat:fey-disguise"	Fey Disguise
spirit of the beast	"feat:spirit-of-the-beast"	Spirit of the Beast
spellshifter dedication	"feat:spellshifter-dedication"	Spellshifter Dedication
hone claws	"feat:hone-claws"	Hone Claws
brilliant crafter	"feat:brilliant-crafter"	Brilliant Crafter
reach for the stars	"feat:reach-for-the-stars"	Reach for the Stars
endless return	"feat:endless-return"	Endless Return
lesson of bonded eyes	"feat:lesson-of-bonded-eyes"	Lesson of Bonded Eyes
harmlessly cute	"feat:harmlessly-cute"	Harmlessly Cute
stone form	"feat:stone-form"	Stone Form
legendary professional	"feat:legendary-professional"	Legendary Professional
gaping flesh	"feat:gaping-flesh"	Gaping Flesh
lightning rod	"feat:lightning-rod"	Lightning Rod
corrupted ground	"feat:corrupted-ground"	Corrupted Ground
oracular warning	"feat:oracular-warning"	Oracular Warning
stalwart chant	"feat:stalwart-chant"	Stalwart Chant
expeditious search	"feat:expeditious-search"	Expeditious Search
call worm spirit	"feat:call-worm-spirit"	Call Worm Spirit
palm-leaf silhouette	"feat:palm-leaf-silhouette"	Palm-Leaf Silhouette
form of the sea	"feat:form-of-the-sea"	Form of The Sea
spew tentacles	"feat:spew-tentacles"	Spew Tentacles
necromantic physiology	"feat:necromantic-physiology"	Necromantic Physiology
conrasu weapon expertise	"feat:conrasu-weapon-expertise"	Conrasu Weapon Expertise
innate understanding	"feat:innate-understanding"	Innate Understanding
harness natural magic	"feat:harness-natural-magic"	Harness Natural Magic
tengu lore	"feat:tengu-lore"	Tengu Lore
slurp up	"feat:slurp-up"	Slurp Up
psychopomp familiar	"feat:psychopomp-familiar"	Psychopomp Familiar
grown of oak	"feat:grown-of-oak"	Grown of Oak
wisteria-and-peony reunion	"feat:wisteria-and-peony-reunion"	Wisteria-and-Peony Reunion
expert necromancer spellcasting	"feat:expert-necromancer-spellcasting"	Expert Necromancer Spellcasting
blade of the heart	"feat:blade-of-the-heart"	Blade of the Heart
sanguine evasion	"feat:sanguine-evasion"	Sanguine Evasion
jotun's grasp	"feat:jotuns-grasp"	Jotun's Grasp
peerless form	"feat:peerless-form"	Peerless Form
superior bond	"feat:superior-bond"	Superior Bond
warshard warrior dedication	"feat:warshard-warrior-dedication"	Warshard Warrior Dedication
read the land	"feat:read-the-land"	Read the Land
stoked flame stance	"feat:stoked-flame-stance"	Stoked Flame Stance
pact of draconic fury	"feat:pact-of-draconic-fury"	Pact of Draconic Fury
weapon infusion	"feat:weapon-infusion"	Weapon Infusion
twin takedown	"feat:twin-takedown"	Twin Takedown
relinquish control	"feat:relinquish-control"	Relinquish Control
frightful attrition	"feat:frightful-attrition"	Frightful Attrition
pushing wind	"feat:pushing-wind"	Pushing Wind
striker's scroll	"feat:strikers-scroll"	Striker's Scroll
soul bleed	"feat:soul-bleed"	Soul Bleed
on borrowed time	"feat:on-borrowed-time"	On Borrowed Time
cruel piercing	"feat:cruel-piercing"	Cruel Piercing
hybrid study spell	"feat:hybrid-study-spell"	Hybrid Study Spell
claw snag	"feat:claw-snag"	Claw Snag
automatic knowledge	"feat:automatic-knowledge"	Automatic Knowledge
remediate	"feat:remediate"	Remediate
the tyrant falls!	"feat:the-tyrant-falls"	The Tyrant Falls!
improvise admixture	"feat:improvise-admixture"	Improvise Admixture
hulking size	"feat:hulking-size"	Hulking Size
expand aura	"feat:expand-aura"	Expand Aura
knight reclaimant dedication	"feat:knight-reclaimant-dedication"	Knight Reclaimant Dedication
rivethun emissary dedication	"feat:rivethun-emissary-dedication"	Rivethun Emissary Dedication
shadow blending	"feat:shadow-blending"	Shadow Blending
