xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
swooping rescue	"feat:swooping-rescue"	Swooping Rescue
rat retinal hud	"feat:rat-retinal-hud"	Rat Retinal HUD
astrowanderer	"feat:astrowanderer"	Astrowanderer
resilient polyps	"feat:resilient-polyps"	Resilient Polyps
hardor spine	"feat:hardor-spine"	Hardor Spine
fan the hammer	"feat:fan-the-hammer"	Fan the Hammer
daredevil survivalist	"feat:daredevil-survivalist"	Daredevil Survivalist
fantastic ferocity	"feat:fantastic-ferocity"	Fantastic Ferocity
convergent ablation	"feat:convergent-ablation"	Convergent Ablation
augmented adaptation	"feat:augmented-adaptation"	Augmented Adaptation
overcome shame	"feat:overcome-shame"	Overcome Shame
harmonic sensitivity	"feat:harmonic-sensitivity"	Harmonic Sensitivity
press-gang the soul	"feat:press-gang-the-soul"	Press-Gang the Soul
bonded rider	"feat:bonded-rider"	Bonded Rider
expert mystic spellcasting	"feat:expert-mystic-spellcasting"	Expert Mystic Spellcasting
bondbearer	"feat:bondbearer"	Bondbearer
flicker strike	"feat:flicker-strike"	Flicker Strike
stout roots	"feat:stout-roots"	Stout Roots
climbing specialist	"feat:climbing-specialist"	Climbing Specialist
recode creation	"feat:recode-creation"	Recode Creation
magically melodious	"feat:magically-melodious"	Magically Melodious
quickened processor	"feat:quickened-processor"	Quickened Processor
vibration whiskers	"feat:vibration-whiskers"	Vibration Whiskers
graviton flight	"feat:graviton-flight"	Graviton Flight
charged blood	"feat:charged-blood"	Charged Blood
stash for later	"feat:stash-for-later"	Stash for Later
amplify radiance	"feat:amplify-radiance"	Amplify Radiance
advanced stellar attunement	"feat:advanced-stellar-attunement"	Advanced Stellar Attunement
head of steam	"feat:head-of-steam"	Head of Steam
synergistic assistance	"feat:synergistic-assistance"	Synergistic Assistance
diplomat's facade	"feat:diplomats-facade"	Diplomat's Facade
toxic runoff	"feat:toxic-runoff"	Toxic Runoff
dozens of cousins	"feat:dozens-of-cousins"	Dozens of Cousins
overgrown psychic	"feat:overgrown-psychic"	Overgrown Psychic
host's final gift	"feat:hosts-final-gift"	Host's Final Gift
psychic fungus	"feat:psychic-fungus"	Psychic Fungus
tinkering fingers	"feat:tinkering-fingers"	Tinkering Fingers
envoy dedication	"feat:envoy-dedication"	Envoy Dedication
bursting surge	"feat:bursting-surge"	Bursting Surge
confident actualization	"feat:confident-actualization"	Confident Actualization
explosive surprise	"feat:explosive-surprise"	Explosive Surprise
battle medicine	"feat:battle-medicine"	Battle Medicine
atmospheric flight	"feat:atmospheric-flight"	Atmospheric Flight
extended vitality	"feat:extended-vitality"	Extended Vitality
chew through wires	"feat:chew-through-wires"	Chew Through Wires
it's who you know	"feat:its-who-you-know"	It's Who You Know
put your heads together	"feat:put-your-heads-together"	Put Your Heads Together
nonnegotiable command	"feat:nonnegotiable-command"	Nonnegotiable Command
magic coagulant	"feat:magic-coagulant"	Magic Coagulant
launch plasma	"feat:launch-plasma"	Launch Plasma
shiny	"feat:shiny"	Shiny
solar wind	"feat:solar-wind"	Solar Wind
stretching reach	"feat:stretching-reach"	Stretching Reach
tectonic psychic	"feat:tectonic-psychic"	Tectonic Psychic
opening roar	"feat:opening-roar"	Opening Roar
no memory left behind	"feat:no-memory-left-behind"	No Memory Left Behind
student of the canon	"feat:student-of-the-canon"	Student of the Canon
weapon proficiency	"feat:weapon-proficiency"	Weapon Proficiency
constellation vortex	"feat:constellation-vortex"	Constellation Vortex
defensive formation	"feat:defensive-formation"	Defensive Formation
spectra ascendant	"feat:spectra-ascendant"	Spectra Ascendant
darkness incarnate	"feat:darkness-incarnate"	Darkness Incarnate
whirling swipe	"feat:whirling-swipe"	Whirling Swipe
kalo lore	"feat:kalo-lore"	Kalo Lore
take me seriously	"feat:take-me-seriously"	Take Me Seriously
disturbing violence	"feat:disturbing-violence"	Disturbing Violence
intimidating glare	"feat:intimidating-glare"	Intimidating Glare
akashic sync	"feat:akashic-sync"	Akashic Sync
seemingly random study	"feat:seemingly-random-study"	Seemingly Random Study
competitive spirit	"feat:competitive-spirit"	Competitive Spirit
menacing huff	"feat:menacing-huff"	Menacing Huff
magical crafting	"feat:magical-crafting"	Magical Crafting
shearing beak	"feat:shearing-beak"	Shearing Beak
skyguard	"feat:skyguard"	Skyguard
unhindered advance	"feat:unhindered-advance"	Unhindered Advance
heads up	"feat:heads-up"	Heads Up
symbiotic summon	"feat:symbiotic-summon"	Symbiotic Summon
read 'em like a book	"feat:read-em-like-a-book"	Read 'Em Like A Book
fight for the fallen	"feat:fight-for-the-fallen"	Fight for the Fallen
off the top of my head	"feat:off-the-top-of-my-head"	Off the Top of my Head
void vision	"feat:void-vision"	Void Vision
absorbent plating	"feat:absorbent-plating"	Absorbent Plating
break it	"feat:break-it"	Break It
impressive performance	"feat:impressive-performance"	Impressive Performance
glitter cloud	"feat:glitter-cloud"	Glitter Cloud
serious-minded	"feat:serious-minded"	Serious-Minded
filtering tentacles	"feat:filtering-tentacles"	Filtering Tentacles
adaptive defense	"feat:adaptive-defense"	Adaptive Defense
just the thing...	"feat:just-the-thing"	Just the Thing...
bioluminescence	"feat:bioluminescence"	Bioluminescence
psychic retaliation	"feat:psychic-retaliation"	Psychic Retaliation
soul-soother	"feat:soul-soother"	Soul-Soother
far-reaching mind	"feat:far-reaching-mind"	Far-Reaching Mind
consume decay	"feat:consume-decay"	Consume Decay
entu spore caps	"feat:entu-spore-caps"	Entu Spore Caps
bloomguard	"feat:bloomguard"	Bloomguard
demolitions experience	"feat:demolitions-experience"	Demolitions Experience
body art	"feat:body-art"	Body Art
check it out!	"feat:check-it-out"	Check it Out!
slip through	"feat:slip-through"	Slip Through
deep diplomat	"feat:deep-diplomat"	Deep Diplomat
mascot power!	"feat:mascot-power"	Mascot Power!
expedition assistant	"feat:expedition-assistant"	Expedition Assistant
practiced navigator	"feat:practiced-navigator"	Practiced Navigator
shield companion	"feat:shield-companion"	Shield Companion
extreme accuracy	"feat:extreme-accuracy"	Extreme Accuracy
read lips	"feat:read-lips"	Read Lips
chitinous shield	"feat:chitinous-shield"	Chitinous Shield
convert elemental essence	"feat:convert-elemental-essence"	Convert Elemental Essence
electrify lfan	"feat:electrify-lfan"	Electrify LFAN
need for speed	"feat:need-for-speed"	Need for Speed
ascended stability	"feat:ascended-stability"	Ascended Stability
never the sucker	"feat:never-the-sucker"	Never the Sucker
practiced escape	"feat:practiced-escape"	Practiced Escape
extreme copaxi superstition	"feat:extreme-copaxi-superstition"	Extreme Copaxi Superstition
quick stow	"feat:quick-stow"	Quick Stow
coastal adaptation	"feat:coastal-adaptation"	Coastal Adaptation
invoke the leviathan	"feat:invoke-the-leviathan"	Invoke the Leviathan
flashing fit	"feat:flashing-fit"	Flashing Fit
menacing snarl	"feat:menacing-snarl"	Menacing Snarl
rocket jump	"feat:rocket-jump"	Rocket Jump
sway the heart, stoke the spirit	"feat:sway-the-heart-stoke-the-spirit"	Sway the Heart, Stoke the Spirit
interdimensional cheek portal	"feat:interdimensional-cheek-portal"	Interdimensional Cheek Portal
living battery	"feat:living-battery"	Living Battery
one with the newborn	"feat:one-with-the-newborn"	One with the Newborn
photosynthetic regeneration	"feat:photosynthetic-regeneration"	Photosynthetic Regeneration
super sticky	"feat:super-sticky"	Super Sticky
torag's protection	"feat:torags-protection"	Torag's Protection
quantum aura	"feat:quantum-aura"	Quantum Aura
mycelium armor	"feat:mycelium-armor"	Mycelium Armor
wriggling tail	"feat:wriggling-tail"	Wriggling Tail
malfunction aura	"feat:malfunction-aura"	Malfunction Aura
vitality web	"feat:vitality-web"	Vitality Web
creature shape	"feat:creature-shape"	Creature Shape
dirty retort	"feat:dirty-retort"	Dirty Retort
long legs	"feat:long-legs"	Long Legs
all in	"feat:all-in"	All In
tripartite mind	"feat:tripartite-mind"	Tripartite Mind
psychic investigator	"feat:psychic-investigator"	Psychic Investigator
supreme scion	"feat:supreme-scion"	Supreme Scion
acidic spit	"feat:acidic-spit"	Acidic Spit
break curse	"feat:break-curse"	Break Curse
tremor-tuned	"feat:tremor-tuned"	Tremor-Tuned
deathless study	"feat:deathless-study"	Deathless Study
arcane adept	"feat:arcane-adept"	Arcane Adept
veskarium logistics specialist	"feat:veskarium-logistics-specialist"	Veskarium Logistics Specialist
unliving memories	"feat:unliving-memories"	Unliving Memories
reliable grace	"feat:reliable-grace"	Reliable Grace
manifold evolution	"feat:manifold-evolution"	Manifold Evolution
adjust gravity	"feat:adjust-gravity"	Adjust Gravity
kasatha lore	"feat:kasatha-lore"	Kasatha Lore
vesk weapon familiarity	"feat:vesk-weapon-familiarity"	Vesk Weapon Familiarity
touch the sky	"feat:touch-the-sky"	Touch The Sky
grand soul!	"feat:grand-soul"	Grand Soul!
maze lost	"feat:maze-lost"	Maze Lost
rugged survivalist	"feat:rugged-survivalist"	Rugged Survivalist
what, me, fail?	"feat:what-me-fail"	What, Me, Fail?
crystal ball	"feat:crystal-ball"	Crystal Ball
deathly constitution	"feat:deathly-constitution"	Deathly Constitution
intimidating shot	"feat:intimidating-shot"	Intimidating Shot
super climber	"feat:super-climber"	Super Climber
contemplative lore	"feat:contemplative-lore"	Contemplative Lore
teachings of the forgefather	"feat:teachings-of-the-forgefather"	Teachings of the Forgefather
something to protect	"feat:something-to-protect"	Something to Protect
call the hive	"feat:call-the-hive"	Call the Hive
don't touch that!	"feat:dont-touch-that"	Don't Touch That!
blood sense	"feat:blood-sense"	Blood Sense
ooranak rescuer	"feat:ooranak-rescuer"	Ooranak Rescuer
secondary initiation	"feat:secondary-initiation"	Secondary Initiation
glarecaster	"feat:glarecaster"	Glarecaster
revival protocol	"feat:revival-protocol"	Revival Protocol
legacy admittance: leshy	"feat:legacy-admittance-leshy"	Legacy Admittance: Leshy
legacy admittance: elf	"feat:legacy-admittance-elf"	Legacy Admittance: Elf
mnemonic editor	"feat:mnemonic-editor"	Mnemonic Editor
legacy admittance: dwarf	"feat:legacy-admittance-dwarf"	Legacy Admittance: Dwarf
legacy admittance: halfling	"feat:legacy-admittance-halfling"	Legacy Admittance: Halfling
expanded summoning - pathfinder monster core	"feat:expanded-summoning-pathfinder-monster-core"	Expanded Summoning - Pathfinder Monster Core
magic unleashed	"feat:magic-unleashed"	Magic Unleashed
legacy admittance: goblin	"feat:legacy-admittance-goblin"	Legacy Admittance: Goblin
one with the world soul	"feat:one-with-the-world-soul"	One With the World Soul
legacy admittance: gnome	"feat:legacy-admittance-gnome"	Legacy Admittance: Gnome
starfinder condition removal	"feat:starfinder-condition-removal"	Starfinder Condition Removal
